date,tpi,rpix,cpi,gdp
Feb-55,NA,NA,5.60273292,4606
May-55,NA,NA,5.665437432,4676
Aug-55,NA,NA,5.74508911,4897
Nov-55,NA,NA,5.877277001,5112
Feb-56,NA,NA,5.912957563,5001
May-56,NA,NA,6.036593915,5183
Aug-56,NA,NA,6.013044134,5222
Nov-56,NA,NA,6.067993623,5527
Feb-57,NA,NA,6.138642967,5319
May-57,NA,NA,6.177892602,5492
Aug-57,NA,NA,6.262279318,5543
Nov-57,NA,NA,6.338816107,5826
Feb-58,NA,NA,6.360403406,5714
May-58,NA,NA,6.456565013,5732
Aug-58,NA,NA,6.381990706,5794
Nov-58,NA,NA,6.46441494,6031
Feb-59,NA,NA,6.495814648,5826
May-59,NA,NA,6.434977713,6068
Aug-59,NA,NA,6.417315377,6057
Nov-59,NA,NA,6.46441494,6429
Feb-60,NA,NA,6.466377422,6292
May-60,NA,NA,6.505627057,6489
Aug-60,NA,NA,6.515439466,6524
Nov-60,NA,NA,6.584126328,6851
Feb-61,NA,NA,6.619450999,6729
May-61,NA,NA,6.701875234,6873
Aug-61,NA,NA,6.78626195,7018
Nov-61,NA,NA,6.862798739,7145
Feb-62,NA,NA,6.931583724,6908
May-62,NA,NA,7.079162353,7287
Aug-62,NA,NA,7.046879528,7286
Nov-62,NA,NA,7.044573612,7538
Feb-63,NA,NA,7.148339836,7133
May-63,NA,NA,7.189846325,7761
Aug-63,NA,NA,7.139116171,7773
Nov-63,NA,NA,7.192152241,8247
Feb-64,NA,NA,7.256717891,7939
May-64,NA,NA,7.390461024,8418
Aug-64,NA,NA,7.448108926,8453
Nov-64,NA,NA,7.514980492,8905
Feb-65,NA,NA,7.584157974,8695
May-65,NA,NA,7.773243092,9013
Aug-65,NA,NA,7.807831833,9119
Nov-65,NA,NA,7.858561987,9538
Feb-66,NA,NA,7.916209889,9302
May-66,NA,NA,8.06840035,9621
Aug-66,NA,NA,8.093765427,9721
Nov-66,NA,NA,8.158331077,10133
Feb-67,NA,NA,8.202143482,9823
May-67,NA,NA,8.273626881,10241
Aug-67,NA,NA,8.229814475,10239
Nov-67,NA,NA,8.331274783,10655
Feb-68,NA,NA,8.448876502,10629
May-68,NA,NA,8.649491201,10951
Aug-68,NA,NA,8.693303607,11330
Nov-68,NA,NA,8.79706983,11991
Feb-69,NA,NA,8.974625368,11510
May-69,NA,NA,9.115286248,11880
Aug-69,NA,NA,9.133733577,12151
Nov-69,NA,NA,9.249029381,12984
Feb-70,NA,NA,9.424279003,12492
May-70,NA,NA,9.650258778,13329
Aug-70,NA,NA,9.758636834,13802
Nov-70,NA,NA,9.961557448,14829
Feb-71,NA,NA,10.23365555,14072
May-71,NA,NA,10.6002962,14881
Aug-71,NA,NA,10.74556891,15460
Nov-71,NA,NA,10.87931205,16447
Feb-72,NA,NA,11.04764392,15712
May-72,NA,NA,11.25517637,16627
Aug-72,NA,NA,11.43964965,17022
Nov-72,NA,NA,11.7186655,18694
Feb-73,35,NA,11.92389203,18850
May-73,37,NA,12.30436818,18785
Aug-73,41,NA,12.49114738,19845
Nov-73,42,NA,12.92235369,21114
Feb-74,42,NA,13.45841922,19675
May-74,42,NA,14.25893644,21152
Aug-74,41,NA,14.61717895,22776
Nov-74,42,NA,15.27174551,24580
Feb-75,44,33,16.19167689,24785
May-75,43,36,17.72194736,26323
Aug-75,44,38,18.50035084,27928
Nov-75,44,39,19.13722642,30238
Feb-76,46,41,19.82717495,30153
May-76,45,42,20.55250547,30954
Aug-76,47,43,21.0257394,32710
Nov-76,48,45,21.994321,35633
Feb-77,50,47,23.10000776,34845
May-77,54,50,24.13050782,36588
Aug-77,55,51,24.51086406,38299
Nov-77,54,51,24.86910657,41083
Feb-78,57,52,25.29369029,40704
May-78,61,54,25.98363882,42595
Aug-78,64,55,26.43475902,44574
Nov-78,67,55,26.88145647,47289
Feb-79,71,57,27.71735566,46344
May-79,74,59,28.73458748,50000
Aug-79,83,63,30.65848244,53520
Nov-79,88,65,31.52091811,57430
Feb-80,89,67,33.00696111,57154
May-80,93,71,34.92643333,58794
Aug-80,94,72,35.67387757,61970
Nov-80,90,74,36.33728963,65180
Feb-81,88,76,37.1997253,63697
May-81,87,80,39.01305158,65268
Aug-81,86,81,39.68973188,67943
Nov-81,84,83,40.66273623,72176
Feb-82,89,84,41.33941652,70779
May-82,88,87,42.66181789,71756
Aug-82,86,87,42.85641876,74192
Nov-82,88,88,43.1704338,78085
Feb-83,88,89,43.39157115,77655
May-83,89,91,44.27612056,77774
Aug-83,88,92,44.84665492,81695
Nov-83,91,93,45.35084808,85876
Feb-84,94,93,45.62948115,83893
May-84,96,95,46.55383528,83063
Aug-84,95,96,46.960728,86844
Nov-84,96,96,47.54453061,93148
